y,Ymoyen,graine,engrais,parcelle,plant,mesure,IDparcelle
13.74401311,13.5672729,3,2,2,1,1,322
13.81198237,,3,2,2,1,2,322
13.39250057,,3,2,2,2,1,322
13.49051524,,3,2,2,2,2,322
13.1196771,,3,2,2,3,1,322
13.12465345,,3,2,2,3,2,322
13.94056534,,3,2,2,4,1,322
13.91427603,,3,2,2,4,2,322
16.93684551,17.06579536,3,3,2,1,1,332
17.04746039,,3,3,2,1,2,332
17.52103342,,3,3,2,2,1,332
17.46388312,,3,3,2,2,2,332
17.13203071,,3,3,2,3,1,332
17.03360987,,3,3,2,3,2,332
16.69621405,,3,3,2,4,1,332
16.69528583,,3,3,2,4,2,332
12.5190003,12.49006386,1,1,3,1,1,113
12.46881245,,1,1,3,1,2,113
12.60257215,,1,1,3,2,1,113
12.56748207,,1,1,3,2,2,113
12.63284144,,1,1,3,3,1,113
12.45362741,,1,1,3,3,2,113
12.30006551,,1,1,3,4,1,113
12.37610958,,1,1,3,4,2,113
13.26895498,13.57320729,1,2,3,1,1,123
13.09463732,,1,2,3,1,2,123
13.43986092,,1,2,3,2,1,123
13.402811,,1,2,3,2,2,123
13.62730863,,1,2,3,3,1,123
13.73794383,,1,2,3,3,2,123
13.94827139,,1,2,3,4,1,123
14.06587023,,1,2,3,4,2,123
13.6108786,13.6125423,1,3,3,1,1,133
13.58613953,,1,3,3,1,2,133
13.56330831,,1,3,3,2,1,133
13.49319004,,1,3,3,2,2,133
13.60345613,,1,3,3,3,1,133
13.62055053,,1,3,3,3,2,133
13.73798037,,1,3,3,4,1,133
13.68483488,,1,3,3,4,2,133
11.32537709,11.69337202,2,1,3,1,1,213
11.32830962,,2,1,3,1,2,213
11.88684398,,2,1,3,2,1,213
11.88725291,,2,1,3,2,2,213
11.68183048,,2,1,3,3,1,213
11.74333653,,2,1,3,3,2,213
11.84576644,,2,1,3,4,1,213
11.8482591,,2,1,3,4,2,213
16.66071593,16.5826329,2,2,3,1,1,223
16.72898641,,2,2,3,1,2,223
16.63727724,,2,2,3,2,1,223
16.57577011,,2,2,3,2,2,223
16.340286,,2,2,3,3,1,223
16.30875244,,2,2,3,3,2,223
16.74613888,,2,2,3,4,1,223
16.66313621,,2,2,3,4,2,223
15.40652768,15.58203377,2,3,3,1,1,233
15.50264328,,2,3,3,1,2,233
15.20852602,,2,3,3,2,1,233
15.16908044,,2,3,3,2,2,233
15.53778466,,2,3,3,3,1,233
15.6017525,,2,3,3,3,2,233
16.11114885,,2,3,3,4,1,233
16.11880673,,2,3,3,4,2,233
15.20505839,15.35274826,3,1,3,1,1,313
15.12905096,,3,1,3,1,2,313
15.04867867,,3,1,3,2,1,313
15.04559634,,3,1,3,2,2,313
15.59404697,,3,1,3,3,1,313
15.59023048,,3,1,3,3,2,313
15.58448456,,3,1,3,4,1,313
15.62483971,,3,1,3,4,2,313
15.25813752,15.09371963,3,2,3,1,1,323
15.30740394,,3,2,3,1,2,323
15.20548781,,3,2,3,2,1,323
15.16438409,,3,2,3,2,2,323
14.56778144,,3,2,3,3,1,323
14.52724748,,3,2,3,3,2,323
15.34833686,,3,2,3,4,1,323
15.37097789,,3,2,3,4,2,323
14.00714875,13.75595122,3,3,3,1,1,333
14.00679103,,3,3,3,1,2,333
13.80980066,,3,3,3,2,1,333
13.75735347,,3,3,3,2,2,333
13.58118332,,3,3,3,3,1,333
13.53749851,,3,3,3,3,2,333
13.63891702,,3,3,3,4,1,333
13.70891701,,3,3,3,4,2,333
13.32059707,13.06778605,1,1,4,1,1,114
13.34953106,,1,1,4,1,2,114
13.10473322,,1,1,4,2,1,114
12.91554166,,1,1,4,2,2,114
13.15295775,,1,1,4,3,1,114
13.13129027,,1,1,4,3,2,114
12.79190147,,1,1,4,4,1,114
12.77573594,,1,1,4,4,2,114
11.76662944,12.0603606,1,2,4,1,1,124
11.70857848,,1,2,4,1,2,124
12.3854114,,1,2,4,2,1,124
12.41483082,,1,2,4,2,2,124
12.21763387,,1,2,4,3,1,124
12.13711327,,1,2,4,3,2,124
11.95068422,,1,2,4,4,1,124
11.9020033,,1,2,4,4,2,124
12.90799131,13.04645045,1,3,4,1,1,134
12.95403474,,1,3,4,1,2,134
13.14423928,,1,3,4,2,1,134
13.15690066,,1,3,4,2,2,134
12.67549306,,1,3,4,3,1,134
12.80554554,,1,3,4,3,2,134
13.33671268,,1,3,4,4,1,134
13.39068635,,1,3,4,4,2,134
10.54127076,10.36115482,2,1,4,1,1,214
10.59772041,,2,1,4,1,2,214
10.16145464,,2,1,4,2,1,214
10.09398997,,2,1,4,2,2,214
10.2117825,,2,1,4,3,1,214
10.21750169,,2,1,4,3,2,214
10.52733222,,2,1,4,4,1,214
10.53818637,,2,1,4,4,2,214
14.23271293,14.26699614,2,2,4,1,1,224
14.22008543,,2,2,4,1,2,224
14.18829369,,2,2,4,2,1,224
14.14391366,,2,2,4,2,2,224
14.19841907,,2,2,4,3,1,224
14.22322654,,2,2,4,3,2,224
14.43974655,,2,2,4,4,1,224
14.48957128,,2,2,4,4,2,224
16.06813784,16.06783952,2,3,4,1,1,234
16.06588223,,2,3,4,1,2,234
15.9056406,,2,3,4,2,1,234
15.80404521,,2,3,4,2,2,234
15.96568072,,2,3,4,3,1,234
16.0598745,,2,3,4,3,2,234
16.30529013,,2,3,4,4,1,234
16.36816491,,2,3,4,4,2,234
11.05327289,10.79636724,3,1,4,1,1,314
11.08823649,,3,1,4,1,2,314
10.43543399,,3,1,4,2,1,314
10.46608203,,3,1,4,2,2,314
10.69792274,,3,1,4,3,1,314
10.75427062,,3,1,4,3,2,314
10.95725532,,3,1,4,4,1,314
10.91846386,,3,1,4,4,2,314
14.46739764,14.32385816,3,2,4,1,1,324
14.35082756,,3,2,4,1,2,324
14.48522968,,3,2,4,2,1,324
14.35866567,,3,2,4,2,2,324
14.53332329,,3,2,4,3,1,324
14.50419402,,3,2,4,3,2,324
14.00544494,,3,2,4,4,1,324
13.88578248,,3,2,4,4,2,324
16.29717831,16.24781519,3,3,4,1,1,334
16.38011819,,3,3,4,1,2,334
16.50877474,,3,3,4,2,1,334
16.45363121,,3,3,4,2,2,334
16.46089675,,3,3,4,3,1,334
16.4992343,,3,3,4,3,2,334
15.67163484,,3,3,4,4,1,334
15.71105316,,3,3,4,4,2,334
